Oscheius	Other
502	20
495	27
499	23
505	17
500	22
510	12
502	20
506	16
506	16
499	23
503	19
504	18
500	22
499	23
505	17
500	22
509	13
506	16
502	20
500	22
499	23
506	16
502	20
498	24
504	18
505	17
500	22
498	24
504	18
508	14
499	23
503	19
505	17
506	16
499	23
506	16
503	19
509	13
499	23
504	18
500	22
502	20
503	19
501	21
505	17
506	16
500	22
501	21
496	26
502	20
500	22
508	14
509	13
503	19
497	25
506	16
495	27
506	16
501	21
498	24
502	20
505	17
508	14
503	19
501	21
505	17
500	22
504	18
498	24
504	18
501	21
504	18
500	22
503	19
500	22
495	27
502	20
513	9
501	21
503	19
503	19
501	21
501	21
510	12
503	19
505	17
506	16
501	21
504	18
507	15
504	18
501	21
501	21
500	22
503	19
502	20
503	19
508	14
502	20
498	24
502	20
504	18
504	18
507	15
494	28
503	19
507	15
499	23
499	23
506	16
508	14
505	17
502	20
497	25
507	15
506	16
500	22
501	21
504	18
505	17
501	21
503	19
502	20
507	15
498	24
509	13
513	9
509	13
501	21
502	20
502	20
504	18
510	12
509	13
504	18
504	18
501	21
499	23
507	15
494	28
508	14
503	19
497	25
503	19
507	15
504	18
505	17
507	15
506	16
507	15
500	22
505	17
503	19
506	16
507	15
505	17
509	13
501	21
502	20
508	14
502	20
503	19
506	16
500	22
503	19
507	15
510	12
500	22
504	18
504	18
504	18
500	22
489	33
501	21
510	12
504	18
494	28
496	26
508	14
507	15
514	8
501	21
504	18
502	20
500	22
509	13
498	24
506	16
507	15
501	21
503	19
500	22
502	20
504	18
503	19
499	23
497	25
505	17
510	12
498	24
502	20
503	19
504	18
501	21
502	20
502	20
503	19
506	16
499	23
499	23
505	17
503	19
506	16
500	22
505	17
500	22
509	13
504	18
505	17
508	14
505	17
509	13
508	14
500	22
500	22
498	24
501	21
509	13
500	22
505	17
507	15
509	13
500	22
507	15
512	10
507	15
505	17
501	21
501	21
502	20
505	17
507	15
500	22
512	10
498	24
502	20
504	18
505	17
503	19
503	19
499	23
504	18
502	20
506	16
501	21
508	14
502	20
503	19
502	20
507	15
503	19
504	18
504	18
507	15
503	19
501	21
504	18
509	13
