contig,Avg_fold,Length,Ref_GC,Covered_bases,Covered_percent,Read_GC,Plus_reads,Minus_reads,RNA_Covered_bases,RNA_Avg_fold,RNA_Covered_percent,RNA_Read_GC,Origin,Reconstruction_Error,Category
ptg000001l,0.32065833368242236,0.08513102947905629,0.6431175934366455,0.08515742870569613,1.0,0.6225806451612901,0.054726368159203974,0.06381435823060189,0.09622446791400846,0.016894866413413645,0.5928982495404044,0.7795744680851062,Oscheius dolichura,0.005764689758456183,Normal
ptg000002l,0.4831765825577357,0.12350203438879703,0.6057429352780312,0.1235273263914653,1.0,0.6115207373271889,0.12864250177683015,0.12327773749093547,0.15336004932182493,0.01789791713052631,0.6881723031101051,0.5810638297872339,Oscheius dolichura,0.0023252103312032444,Normal
ptg000003l,0.47863711976860684,0.2005738336789252,0.6873290793072016,0.20059690171732913,1.0,0.7092165898617511,0.23169864960909736,0.2349528643944888,0.2124993298665094,0.013887042579868229,0.6138976647918252,0.5806382978723403,Oscheius dolichura,0.003974429791053938,Normal
ptg000004l,0.5000092002911206,0.14608436839132816,0.6836827711941662,0.14610900876390231,1.0,0.6921658986175114,0.13432835820895522,0.14140681653372011,0.21753203238085028,0.049314606425719096,0.8438174406522259,0.5891489361702127,Oscheius dolichura,0.009796098426984189,Normal
ptg000005l,0.4114143118162667,0.34922643757291433,0.6080218778486783,0.3492452161295376,1.0,0.6244239631336403,0.2544420753375977,0.25453226976069615,0.3564037956360907,0.010829539660880393,0.6112442103580428,0.6251063829787233,Oscheius dolichura,0.002608366961441831,Normal
ptg000006l,0.31052431088840754,0.29906133671917184,0.5072926162260711,0.2990733183283454,0.9927374301675513,0.5198156682027648,0.18550106609808104,0.1798404641044235,0.42662038278024983,0.03370478500639507,0.8541851591651978,0.4817021276595744,Oscheius dolichura,0.01179519971040869,Normal
ptg000007l,0.5561994889336157,0.3232678838646379,0.6207839562443027,0.32328741147469353,1.0,0.6216589861751152,0.32196162046908317,0.3321247280638144,0.3140513590307189,0.03899680309202628,0.5788958348232501,0.574468085106383,Oscheius dolichura,0.002010678199510082,Normal
ptg000008l,0.5306050620393247,0.25771810420522795,0.5587967183226983,0.25773952330307603,1.0,0.5788018433179722,0.2444918265813788,0.252356780275562,0.2121843671259315,0.0069549694917092906,0.48202423972167646,0.5527659574468085,Oscheius dolichura,0.0017004299714076807,Normal
ptg000009l,0.44623251993624785,0.17297869972256458,0.4247948951686418,0.1730025640391449,1.0,0.4566820276497694,0.22032693674484718,0.23132704858593187,0.10599501420683,0.009867306251936808,0.3446293577441325,0.5414893617021277,Oscheius dolichura,0.008481260698718301,Normal
ptg000010l,0.4892233270836604,0.3470539494350294,0.5063810391978123,0.3470727906804185,1.0,0.5276497695852536,0.2850035536602701,0.2951414068165337,0.2071315606068729,0.013189770618607047,0.3504905157145922,0.7217021276595743,Oscheius dolichura,0.00837944282485809,Normal
ptg000011l,0.27608781697449797,0.17448748655077312,0.5278030993618963,0.17451130733018394,1.0,0.52258064516129,0.10376687988628287,0.12037708484408992,0.14075483836380207,0.01926843747697148,0.4585743493094498,0.582127659574468,Oscheius dolichura,0.00312565505151328,Normal
ptg000012l,0.45238301242587403,0.14683876180543243,0.5838650865998178,0.14686338040942182,1.0,0.5986175115207373,0.1279317697228145,0.11747643219724438,0.1564359620436391,0.009484921511390498,0.6001655385366139,0.5046808510638299,Oscheius dolichura,0.000593875900668346,Normal
ptg000013l,0.4323400803439891,0.2150639585454635,0.4762989972652689,0.21508660846050476,1.0,0.486175115207373,0.17412935323383086,0.1696881798404641,0.24697099662252722,0.02988188639935526,0.6702270423080319,0.538936170212766,Oscheius dolichura,0.002438922289992069,Normal
ptg000014l,0.40442992059953015,0.44133251435614784,0.6390154968094806,0.44134863512321404,1.0,0.6359447004608292,0.33972992181947403,0.3350253807106599,0.5891344555835522,0.02171652716869294,0.8126469759243444,0.5385106382978724,Oscheius dolichura,0.013482505542975498,Normal
ptg000015l,0.11382189097694172,0.08733649656400594,0.5487693710118506,0.08723092016851756,0.6502793296089067,0.5635944700460827,0.03980099502487562,0.046410442349528645,0.08985819975339086,0.0032664776693099185,0.5410165370263641,0.515531914893617,Oscheius dolichura,0.014911098194753404,Normal
ptg000016l,0.5307323001080152,0.48667032183329967,0.6257976298997265,0.48668513434410887,1.0,0.6387096774193546,0.42999289267945984,0.45830311820159536,0.590307189192087,0.03244136502596863,0.7394503363356035,0.5434042553191489,Oscheius dolichura,0.012496816666789054,Normal
ptg000017l,0.32772689777536956,0.23041153603568318,0.597538742023701,0.23042549858606848,0.9907821229049887,0.5797235023041474,0.13646055437100213,0.13343002175489488,0.33109285369645636,0.040673709425313814,0.8466917533623042,0.5440425531914894,Oscheius dolichura,0.00864438795025653,Normal
ptg000018l,0.4572709117723402,0.18802534432081916,0.6071103008204193,0.18804877445524476,1.0,0.6239631336405529,0.15209665955934612,0.16388687454677303,0.17637913472363695,0.057419432316976785,0.5390403813065554,0.8125531914893616,Oscheius dolichura,0.007350544835599892,Normal
ptg000019l,0.4893192450123656,0.1963401613494985,0.687784867821331,0.19636335155367582,1.0,0.6990783410138248,0.18194740582800284,0.19216823785351705,0.2758336460622956,0.0619533604624152,0.8175090131210849,0.5951063829787233,Oscheius dolichura,0.008962364364479116,Normal
ptg000020l,0.3613706006458996,0.12992880669802412,0.6494986326344578,0.12995391325138303,1.0,0.68110599078341,0.10945273631840796,0.12835387962291517,0.19996783359245163,0.05849897516297349,0.8612189694121803,0.5942553191489361,Oscheius dolichura,0.009031194971977376,Normal
ptg000021l,0.6909602637468987,0.13166020141891918,0.7010027347310848,0.13168525801159178,1.0,0.7345622119815665,0.19900497512437812,0.19796954314720813,0.19159116496006004,0.013463157396288087,0.8148429382143713,0.5774468085106381,Oscheius dolichura,0.015973573063995897,Normal
ptg000022l,0.22410225712503823,0.1413147881721006,0.5647219690063812,0.1413395661744701,1.0,0.5894009216589859,0.05543710021321961,0.07106598984771574,0.18611617434192892,0.007457339280862335,0.7421079975936965,0.49659574468085105,Oscheius dolichura,0.004236000647834426,Normal
ptg000023l,0.6627877978300623,0.09926250829626637,0.7110300820419326,0.0992884997485428,1.0,0.7023041474654377,0.13788201847903342,0.1515591007976795,0.14749638127915082,0.015622945199114707,0.80193429781792,0.5342553191489361,Oscheius dolichura,0.013937007454982156,Normal
ptg000024l,0.4648445131225513,0.16262743271264204,0.6563354603463996,0.162651595722754,1.0,0.6723502304147462,0.15493958777540867,0.16316171138506166,0.20959765185224896,0.020678351933950817,0.7364151125956525,0.5931914893617021,Oscheius dolichura,0.004500990460435431,Normal
ptg000026l,0.3081244051620288,0.05716900473660127,0.6408386508659982,0.05719621082832481,1.0,0.6658986175115207,0.03695806680881308,0.03480783176214648,0.09090360799871333,0.017347879708588178,0.7745615437362489,0.5176595744680852,Oscheius dolichura,0.003588453352954175,Normal
ptg000027l,0.5482891960785619,0.32250112334538433,0.4872379216043756,0.3225206730808868,1.0,0.49907834101382464,0.34612651030561475,0.3357505438723713,0.26582855304776715,0.031170164898471377,0.48863316071330903,0.550212765957447,Oscheius dolichura,0.0026892249084609857,Normal
ptg000028l,0.19370410376049174,0.05368972582127884,0.5934366453965361,0.05371703231019104,1.0,0.6013824884792625,0.0511727078891258,0.05511240029006526,0.025578995335870904,0.0010301256289190997,0.22401339452860428,0.7070212765957447,Oscheius dolichura,0.01518786779908459,Normal
ptg000029l,0.4928329732169738,0.3396831547660762,0.5282588878760257,0.3397022087012441,1.0,0.5474654377880184,0.35678749111584934,0.36693255982596085,0.21058274808341823,0.010303089367744754,0.36434463987480487,0.5878723404255317,Oscheius dolichura,0.005986262741765326,Normal
ptg000030l,0.32371400483974466,0.1328721777235457,0.5036463081130356,0.1328971993437379,1.0,0.4866359447004609,0.1613361762615494,0.15953589557650474,0.11390929073071356,0.010828211343087814,0.47516816780180804,0.5031914893617022,Oscheius dolichura,0.0029470488723833638,Normal
ptg000031l,0.4254535645647068,0.25079664769003085,0.6257976298997265,0.2508182665116701,1.0,0.6410138248847923,0.1791044776119403,0.1943437273386512,0.28342625851069536,0.010603042501277358,0.6663546605303122,0.5895744680851063,Oscheius dolichura,0.0023148841149974197,Normal
ptg000032l,0.3598300412603694,0.15181858281219723,0.46991795806745684,0.15184305771973652,1.0,0.52073732718894,0.1101634683724236,0.1065989847715736,0.17148045890741437,0.008762468439975728,0.6393121421570069,0.47255319148936165,Oscheius dolichura,0.001749577091216311,Normal
ptg000033l,0.42531849646101993,0.2542223358163732,0.5711030082041935,0.25424385578722597,1.0,0.5903225806451613,0.21961620469083157,0.23132704858593187,0.28601297378437784,0.039026974881886264,0.6638789444236438,0.6427659574468083,Oscheius dolichura,0.0021904695223036903,Normal
ptg000035l,0.44050876435392233,0.39942039500533844,0.6581586144029172,0.39942948067901696,0.9944134078212414,0.695852534562212,0.30561478322672353,0.3292240754169688,0.5483903393555996,0.025001457069738615,0.8329932817015763,0.506808510638298,Oscheius dolichura,0.013229733091343518,Normal
ptg000036l,0.3622377770217444,0.2430630846033663,0.6203281677301733,0.2430849265827377,1.0,0.6359447004608292,0.15493958777540867,0.15518491660623643,0.2869578620061116,0.011609622748524588,0.6954006789814436,0.5712765957446808,Oscheius dolichura,0.0031778376101402176,Normal
ptg000037l,0.5306324671618119,0.24746989640488248,0.6007292616226074,0.2474916112224119,1.0,0.6391705069124423,0.2345415778251599,0.2668600435097897,0.34501152629603815,0.026987102409958243,0.82499295356928,0.49276595744680846,Oscheius dolichura,0.007598215814809492,Normal
ptg000038l,0.30532712515958593,0.12278061992175743,0.6955332725615315,0.12280593274137833,1.0,0.7294930875576036,0.13646055437100213,0.16316171138506166,0.1511285047981558,0.01109897943712063,0.6815433997029982,0.5927659574468085,Oscheius dolichura,0.005582221952455213,Normal
ptg000039l,0.4804615179227543,0.16792879845328737,0.6586144029170466,0.16795280848853605,1.0,0.6695852534562212,0.18550106609808104,0.1812907904278463,0.19957915616790864,0.0485231187810272,0.6800352531877211,0.5504255319148936,Oscheius dolichura,0.00331620834381915,Normal
ptg000040l,0.3192978651018081,0.028605114210216047,0.78669097538742,0.02863314453430948,1.0,0.7751152073732719,0.038379530916844345,0.023930384336475707,0.029961668364338178,0.0008133346771861188,0.4153818324085331,0.60531914893617,Oscheius dolichura,0.009888086664484734,Normal
ptg000041l,0.3634377298849337,0.34590793102453216,0.5692798541476756,0.34592680533913744,1.0,0.5917050691244237,0.2466240227434257,0.21174764321972445,0.3540181204095856,0.01194638926088007,0.612749201755087,0.5795744680851063,Oscheius dolichura,0.0025328902845998575,Normal
ptg000042l,0.35032046375731274,0.32102531546424046,0.5761166818596173,0.3210449077852803,1.0,0.6018433179723501,0.23667377398720682,0.24510514865844815,0.39013161421755216,0.05340886138181416,0.7280088259174031,0.5442553191489361,Oscheius dolichura,0.004527725176718044,Normal
ptg000043l,0.42675726539159764,0.08538661631880748,0.6248860528714677,0.08541300817029839,1.0,0.6516129032258065,0.07960199004975124,0.07831762146482958,0.06858146142711627,0.020916500338191608,0.41850539945900234,0.5819148936170211,Sisyra nigra,0.003581832793987143,Normal
ptg000044l,0.2748330538663343,0.2065760020446947,0.5638103919781221,0.2065988968860528,1.0,0.5861751152073731,0.11584932480454868,0.12327773749093547,0.23056612877285157,0.011660003944800228,0.6490214926654018,0.5059574468085106,Oscheius dolichura,0.0024575787898581613,Normal
ptg000045l,0.4540038296701167,0.2981585380432766,0.5059252506836829,0.29817879020223753,1.0,0.5304147465437785,0.26083866382373844,0.27701232777374907,0.20335870905484374,0.01689921191019222,0.39989861553411943,0.5193617021276595,Oscheius dolichura,0.0034269294537522476,Normal
ptg000046l,0.40278561325029844,0.45001834453930467,0.6052871467639018,0.4500300924208322,0.9974860335195217,0.6207373271889398,0.3226723525230988,0.32197244379985496,0.5314292607087331,0.018540709086323326,0.7174570588408515,0.5895744680851063,Oscheius dolichura,0.008438650857872852,Normal
ptg000047l,0.1780146711365726,0.10599433586584164,0.5984503190519601,0.10602013306621158,1.0,0.6018433179723501,0.10518834399431415,0.09572153734590283,0.08658124698439928,0.00525565253966411,0.43970674227732226,0.5242553191489361,PREDICTED: Pongo,0.004735619654856593,Normal
ptg000048l,0.4272172799476327,0.35149786255199333,0.6800364630811304,0.3515165755649543,1.0,0.68110599078341,0.28429282160625446,0.29369108049311093,0.49633436980646545,0.03315865663396081,0.8523394149990113,0.53,Oscheius dolichura,0.012530264427294815,Normal
ptg000049l,0.5054882672798106,0.34312533236595083,0.6007292616226074,0.34314428697451627,1.0,0.6096774193548384,0.334044065387349,0.36113125453226974,0.4594770278239425,0.045154125339679795,0.8065165811980193,0.48999999999999994,Oscheius dolichura,0.007429641782245269,Normal
ptg000050l,0.426696582620376,0.1053801029767622,0.521422060164084,0.10540591790128039,1.0,0.5327188940092167,0.1677327647476901,0.14285714285714288,0.09206964027234224,0.02768333069295383,0.47075415739412474,0.7276595744680849,Oscheius dolichura,0.005397860131750418,Normal
ptg000051l,0.4001879991402622,0.2646725396674897,0.6340018231540567,0.2646937580899145,1.0,0.6603686635944699,0.19331911869225302,0.2153734590282814,0.28131533801533265,0.01118146797203973,0.6278906141542809,0.537659574468085,Oscheius dolichura,0.0020524121724480406,Normal
ptg000053l,0.17623333817490494,0.06294032047291809,0.7215132178669099,0.06296736002902065,1.0,0.7447004608294927,0.03056147832267235,0.023930384336475707,0.04292875140728033,0.023959486641303415,0.33484007757384027,0.5659574468085105,Oscheius dolichura,0.011037211075922364,Normal
ptg000054l,0.4450795472830366,0.3730784610374352,0.6080218778486783,0.3730965513261276,1.0,0.6110599078341012,0.3070362473347548,0.29659173313995646,0.4201535945960435,0.016026886639837708,0.6782589216226561,0.5674468085106381,Oscheius dolichura,0.0034222922695611997,Normal
ptg000055l,0.4123519585070785,0.10405270035740932,0.6640838650865999,0.10407855358512035,1.0,0.6838709677419352,0.08315565031982942,0.08049311094996374,0.1344957915616791,0.025843610550233143,0.7008548266998725,0.5700000000000001,Oscheius dolichura,0.003354635007994338,Normal
ptg000056l,0.5898568943653894,0.3212066996730962,0.5560619872379218,0.3212262867601593,1.0,0.5769585253456222,0.35536602700781805,0.3683828861493836,0.32541682303114783,0.030723280841111165,0.6042009347563617,0.7008510638297871,Oscheius dolichura,0.0045307621679766315,Normal
ptg000058l,0.33759861439700706,0.06521586782038016,0.5824977210574296,0.06524284171386643,1.0,0.5474654377880184,0.05685856432125088,0.05293691080493111,0.10763684125877875,0.038159393603648104,0.8278840935765998,0.5410638297872341,Oscheius dolichura,0.004880566558827355,Normal
ptg000059l,0.2840803251970135,0.09956344118823146,0.5474020054694622,0.09958942395686479,1.0,0.6000000000000001,0.08884150675195451,0.07614213197969544,0.13582935720795583,0.04172118288460399,0.7356620910440915,0.4751063829787234,Oscheius dolichura,0.002760715876953182,Normal
ptg000060l,0.18578598087044151,0.07230221907090062,0.39562443026435745,0.0723289884824351,1.0,0.435483870967742,0.03127221037668799,0.029006526468455404,0.12191738594327989,0.0376538738037298,0.8637167713464781,0.46212765957446805,Oscheius dolichura,0.012266179698779333,Normal
